"ID_VertProf","r0_100","r100_200","r200_300","r300_400","r400_500","r500_600","r600_700","r700_800","r800_900","r900_1000","r1000_1100","r1100_1200","r1200_1300","r1300_1400","r1400_1500","r1500","rTOT"
"VP_00026",0,0,0.23930802717595,0.294475217668916,0.173667983846486,0.0894112397930223,0.0483950603942998,0.0318184514000741,0.024223940160961,0.0195282096602946,0.0166870715744396,0.0151434453309258,0.0135671438209074,0.0122291965537117,0.0107233586742761,0.0108216539457358,1
"VP_00027",0,0.164140330312138,0.295909133244465,0.202645224216692,0.113592332296197,0.0719269154749644,0.047292696619518,0.0302044611771388,0.0205002273890822,0.0153216445503591,0.0113502169622581,0.00835629512932154,0.00636529533575036,0.00481529247971382,0.00378873302442002,0.00379120178798154,1
"VP_00028",0,0,0.225708585796887,0.290511798110543,0.183368165014754,0.0986269435919211,0.0556352834926045,0.0356024445120524,0.025058762264731,0.0191161796686494,0.0146651205973644,0.0124332342512955,0.0105908511940358,0.00920202938444748,0.00824506206881642,0.0112355400518984,1
"VP_00029",0.000370541678103566,0.404505770351918,0.318772865696496,0.108112030501211,0.0607703175303627,0.0366481944197523,0.0236585375556623,0.0157869127349233,0.0103340188246703,0.00685809795235491,0.00452867459899179,0.00314547918501112,0.00228905597439094,0.00171072978977139,0.00126116785264711,0.00124760535373294,1
"VP_00030",0.00061761732935137,0.432910683212606,0.292844828354932,0.120087861858614,0.0682766711622346,0.0352322134971104,0.0184510134859646,0.0107707347912964,0.00655214917269116,0.00432974587445474,0.00280195534621907,0.00209873084623455,0.00163818580917238,0.0012752687513408,0.00106846781959294,0.0010438726881846,1
"VP_00031",0.00061761732935137,0.432910683212606,0.292844828354932,0.120087861858614,0.0682766711622346,0.0352322134971104,0.0184510134859646,0.0107707347912964,0.00655214917269116,0.00432974587445474,0.00280195534621907,0.00209873084623455,0.00163818580917238,0.0012752687513408,0.00106846781959294,0.0010438726881846,1
"VP_00032",0.000617617329351369,0.432910683212606,0.292844828354932,0.120087861858614,0.0682766711622346,0.0352322134971104,0.0184510134859646,0.0107707347912964,0.00655214917269116,0.00432974587445474,0.00280195534621907,0.00209873084623455,0.00163818580917238,0.0012752687513408,0.00106846781959294,0.0010438726881846,1
"VP_00033",0.00838113362600265,0.214492615184385,0.254017110208914,0.162250554415838,0.11470434144615,0.0749111367500365,0.0488101803324286,0.0325623362017495,0.0240607315160637,0.0179713160077119,0.013229171072313,0.0104080970576019,0.00782407411520263,0.00617468306311676,0.00529078440159864,0.00491173460088722,1
"VP_00034",0,0.750789770896138,0.203429841726997,0.0315516748262568,0.00959099148453548,0.00249579450641216,0.000976409086082023,0.000440447443499094,0.000288842050921778,0.00014777653800824,9.34146056033914e-05,6.12379706944986e-05,6.12379706944986e-05,2.4186964719217e-05,2.4186964719217e-05,2.4186964719217e-05,1
"VP_00035",0.00384718038899151,0.245373279594949,0.286272177525673,0.161388615761787,0.0976508316719949,0.0654245612101292,0.0413683156684843,0.0279954161359345,0.0193978994487872,0.0133351523329723,0.00993047384525801,0.00766600916962602,0.00602555288512452,0.00503415792486393,0.0044002395847949,0.00489013685062996,1
